title,url,points,comments,author,time
Taking on CUDA with ROCm: 'One Step After Another',https://www.eetimes.com/taking-on-cuda-with-rocm-one-step-after-another/,33,29,mindcrime,2 hours ago
Bring Back Idiomatic Design,https://essays.johnloeber.com/p/4-bring-back-idiomatic-design,445,223,phil294,12 hours ago
DIY Soft Drinks,https://blinry.org/diy-soft-drinks/,232,53,_Microft,8 hours ago
Ask HN: What Are You Working On? (April 2026),item?id=47741527,117,311,david927,6 hours ago
A Perfectable Programming Language,https://alok.github.io/lean-pages/perfectable-lean/,43,6,yuppiemephisto,3 hours ago
Most people can't juggle one ball,https://www.lesswrong.com/posts/jTGbKKGqs5EdyYoRc/most-people-can-t-juggle-one-ball,221,78,surprisetalk,8 hours ago
I gave every train in New York an instrument,https://www.trainjazz.com/,196,37,joshuawolk,9 hours ago
"Google removes ""Doki Doki Literature Club"" from Google Play",https://bsky.app/profile/serenityforge.com/post/3mj3r4nbiws2t,271,125,super256,4 hours ago
Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),https://github.com/rochus-keller/OberonSystem3Native/releases,162,36,Rochus,11 hours ago
The peril of laziness lost,https://bcantrill.dtrace.org/2026/04/12/the-peril-of-laziness-lost/,293,100,gpm,5 hours ago
Show HN: boringBar – a taskbar-style dock replacement for macOS,https://boringbar.app/,214,133,a-ve,7 hours ago
Uncharted island soon to appear on nautical charts,https://www.awi.de/en/about-us/service/press/single-view/unkartierte-insel-demnaechst-auf-seekarten-verzeichnet.html,34,11,tannhaeuser,4 hours ago
Tell HN: docker pull fails in spain due to football cloudflare block,item?id=47738883,649,251,littlecranky67,12 hours ago
Show HN: Claudraband – Claude Code for the Power User,https://github.com/halfwhey/claudraband,87,27,halfwhey,7 hours ago
Tech valuations are back to pre-AI boom levels,https://www.apollo.com/wealth/the-daily-spark/tech-valuations-back-to-pre-ai-boom-levels,94,13,akyuu,2 hours ago
Anthropic downgraded cache TTL on March 6th,https://github.com/anthropics/claude-code/issues/46829,467,360,lsdmtme,19 hours ago
Seven countries now generate 100% of their electricity from renewable energy,https://www.the-independent.com/tech/renewable-energy-solar-nepal-bhutan-iceland-b2533699.html,480,235,mpweiher,11 hours ago
Investigating How Long-Distance Couples Use Digital Games to Facilitate Intimacy,https://arxiv.org/abs/2505.09509,57,13,radeeyate,8 hours ago
JVM Options Explorer,https://chriswhocodes.com/vm-options-explorer.html,171,72,0x54MUR41,14 hours ago
Happy Map,https://pudding.cool/2026/02/happy-map/,210,32,surprisetalk,14 hours ago
Phyphox – Physical Experiments Using a Smartphone,https://phyphox.org/,185,30,_Microft,16 hours ago
EasyPost (YC S13) Is Hiring,https://www.easypost.com/careers,,,,7 hours ago
Mark's Magic Multiply,https://wren.wtf/shower-thoughts/marks-magic-multiply/,33,2,luu,7 hours ago
